date,PM2.5,PM10,NO2,SO2,CO,O3,
2022-11-01 1:00,50.92166667,51.41833333,0.006983333,0.03675,0.023,0.030233333,
2022-11-01 2:00,43.255,43.67666667,0.006316667,0.03255,0.023833333,0.029533333,
2022-11-01 3:00,46.04166667,46.56666667,0.006,0.030683333,0.023,0.03135,
2022-11-01 4:00,48.66333333,49.175,0.006783333,0.034616667,0.0235,0.028783333,
2022-11-01 5:00,58.18666667,59.41,0.006983333,0.0341,0.023833333,0.027766667,
2022-11-01 6:00,52.73333333,53.43,0.007,0.0349,0.023,0.026766667,
2022-11-01 7:00,53.16666667,55.01666667,0.007,0.037566667,0.023833333,0.026866667,
2022-11-01 8:00,47.90666667,48.44333333,0.007,0.03405,0.0235,0.026483333,
2022-11-01 9:00,55.845,56.59,0.007,0.033866667,0.0235,0.026116667,
2022-11-01 10:00,67.18666667,68.205,0.006983333,0.0326,0.023,0.02725,
2022-11-01 11:00,66.19666667,67.06,0.006216667,0.022383333,0.023333333,0.0262,
2022-11-01 12:00,57.845,58.78166667,0.0055,0.01585,0.023333333,0.032716667,
2022-11-01 13:00,40.90333333,41.48833333,0.00505,0.015066667,0.024,0.038366667,
2022-11-01 14:00,42.66166667,43.09333333,0.005183333,0.016333333,0.023666667,0.04435,
2022-11-01 15:00,54.72166667,55.50833333,0.005983333,0.026033333,0.023666667,0.051866667,
2022-11-01 16:00,46.625,47.28833333,0.006,0.030133333,0.0235,0.056366667,
2022-11-01 17:00,51.905,52.81666667,0.006,0.03325,0.023666667,0.057116667,
2022-11-01 18:00,68.69666667,70.835,0.006,0.036,0.023166667,0.057266667,
2022-11-01 19:00,93.74166667,98.24,0.006,0.038716667,0.023,0.056166667,
2022-11-01 20:00,91.46166667,96.26666667,0.006,0.033216667,0.022683333,0.049166667,
2022-11-01 21:00,81.195,85.125,0.006,0.03185,0.021033333,0.042766667,
2022-11-01 22:00,76.15333333,79.77666667,0.00605,0.031,0.0224,0.038583333,
2022-11-01 23:00,76.09833333,79.625,0.006416667,0.032883333,0.040216667,0.036566667,
2022-11-02 0:00,79.475,83.56833333,0.006666667,0.033783333,0.028966667,0.0323,
2022-11-02 1:00,69.135,72.405,0.006483333,0.031016667,0.022966667,0.030533333,
2022-11-02 2:00,74.78666667,78.70333333,0.006816667,0.03125,0.022833333,0.02925,
2022-11-02 3:00,71.50833333,75.045,0.006583333,0.032583333,0.022983333,0.030166667,
2022-11-02 4:00,64.105,66.785,0.0069,0.03055,0.023383333,0.027533333,
2022-11-02 5:00,59.34333333,61.44833333,0.00675,0.030883333,0.023333333,0.028383333,
2022-11-02 6:00,54.16,55.87666667,0.006316667,0.035366667,0.0235,0.0286,
2022-11-02 7:00,43.485,45.13166667,0.006933333,0.037483333,0.022533333,0.02735,
2022-11-02 8:00,40.895,42.265,0.007,0.042633333,0.024316667,0.0286,
2022-11-02 9:00,33.36833333,33.665,0.0069,0.03155,0.014916667,0.024833333,
2022-11-02 10:00,29.44333333,29.64,0.00665,0.0249,0.025,0.023133333,
2022-11-02 11:00,20.205,20.29333333,0.006,0.013083333,0.010466667,0.021083333,
2022-11-02 12:00,20.66166667,20.75833333,0.006,0.01975,0.021916667,0.0295,
2022-11-02 13:00,18.415,18.485,0.005333333,0.016966667,0.023033333,0.0366,
2022-11-02 14:00,17.74,17.80666667,0.005633333,0.016233333,0.024,0.040466667,
2022-11-02 15:00,10.67833333,10.69,0.005233333,0.02005,0.023666667,0.049283333,
2022-11-02 16:00,7.573333333,7.59,0.005633333,0.021783333,0.0235,0.047483333,
2022-11-02 17:00,6.93,6.941666667,0.00595,0.027616667,0.0235,0.0484,
2022-11-02 18:00,7.443333333,7.451666667,0.006,0.0394,0.0235,0.05345,
2022-11-02 19:00,12.64166667,12.685,0.0061,0.0461,0.023,0.049,
2022-11-02 20:00,8.911666667,8.916666667,0.006,0.03955,0.024166667,0.0422,
2022-11-02 21:00,10.73833333,10.75,0.006,0.045,0.023666667,0.03825,
2022-11-02 22:00,17.04166667,17.095,0.006,0.04375,0.023,0.04195,
2022-11-02 23:00,17.84666667,17.87,0.006083333,0.044416667,0.0235,0.035516667,
2022-11-03 0:00,17.47833333,17.515,0.00605,0.040766667,0.023666667,0.03085,
2022-11-03 1:00,14.855,14.87833333,0.006016667,0.034266667,0.023666667,0.030416667,
2022-11-03 2:00,13.065,13.095,0.006,0.031366667,0.0235,0.030516667,
2022-11-03 3:00,10.43666667,10.47,0.006,0.029983333,0.022833333,0.029883333,
2022-11-03 4:00,11.48,11.50666667,0.006,0.031583333,0.024,0.0312,
2022-11-03 5:00,12.22833333,12.265,0.006266667,0.036833333,0.023166667,0.02895,
2022-11-03 6:00,12.21833333,12.245,0.0062,0.038666667,0.023333333,0.028016667,
2022-11-03 7:00,15.84333333,15.89,0.006216667,0.044183333,0.022833333,0.0295,
2022-11-03 8:00,14.675,14.70833333,0.006416667,0.04435,0.023666667,0.029183333,
2022-11-03 9:00,13.29333333,13.31,0.006,0.033416667,0.023333333,0.028633333,
2022-11-03 10:00,13.97833333,13.99833333,0.006,0.031783333,0.023,0.0286,
2022-11-03 11:00,14.79833333,14.82166667,0.006,0.031816667,0.023483333,0.02955,
2022-11-03 12:00,13.75833333,13.79333333,0.006,0.017083333,0.023733333,0.026716667,
2022-11-03 13:00,13.29333333,13.36333333,0.005983333,0.025866667,0.023666667,0.031466667,
2022-11-03 14:00,13.99,14.05833333,0.005783333,0.018916667,0.022933333,0.033483333,
2022-11-03 15:00,23.48,23.77,0.005716667,0.018666667,0.023016667,0.04145,
2022-11-03 16:00,21.01833333,21.265,0.00595,0.0309,0.023833333,0.049866667,
2022-11-03 17:00,17.95,18.09166667,0.006,0.03795,0.022666667,0.050183333,
2022-11-03 18:00,15.2,15.295,0.006,0.039633333,0.023666667,0.044583333,
2022-11-03 19:00,16.21333333,16.345,0.006,0.037333333,0.024,0.040533333,
2022-11-03 20:00,20.16833333,20.32,0.006266667,0.039433333,0.0235,0.0377,
2022-11-03 21:00,21.88333333,22.09833333,0.006333333,0.038533333,0.023166667,0.03785,
2022-11-03 22:00,10.65,10.71,0.00605,0.032216667,0.023,0.03665,
2022-11-03 23:00,3.496666667,3.551666667,0.006,0.027016667,0.023666667,0.03475,
2022-11-04 0:00,2.615,2.74,0.006,0.02345,0.0235,0.03145,
2022-11-04 1:00,2.738333333,2.931666667,0.006,0.025066667,0.023333333,0.0315,
2022-11-04 2:00,2.96,3.148333333,0.006,0.027233333,0.0235,0.032383333,
2022-11-04 3:00,4.868333333,5.015,0.006,0.027516667,0.022666667,0.030733333,
2022-11-04 4:00,3.881666667,3.98,0.006,0.0273,0.024,0.03035,
2022-11-04 5:00,3.97,4.098333333,0.006,0.02755,0.023166667,0.031133333,
2022-11-04 6:00,5.091666667,5.213333333,0.006,0.027416667,0.023333333,0.030933333,
2022-11-04 7:00,8.111666667,8.276666667,0.006,0.0308,0.0235,0.0303,
2022-11-04 8:00,8.215,8.376666667,0.006,0.035,0.023666667,0.0305,
2022-11-04 9:00,8.558333333,8.678333333,0.006,0.02535,0.0235,0.027783333,
2022-11-04 10:00,11.79333333,11.96,0.006,0.017033333,0.022833333,0.026466667,
2022-11-04 11:00,12.17833333,12.35,0.006,0.017483333,0.024,0.0277,
2022-11-04 12:00,12.08166667,12.2,0.0058,0.0166,0.023833333,0.028133333,
2022-11-04 13:00,12.69166667,12.81833333,0.005833333,0.020483333,0.0235,0.030666667,
2022-11-04 14:00,7.86,7.926666667,0.00555,0.018766667,0.023333333,0.0333,
2022-11-04 15:00,5.698333333,5.751666667,0.006,0.026183333,0.023166667,0.037083333,
2022-11-04 16:00,3.511666667,3.551666667,0.006,0.026933333,0.023833333,0.037166667,
